day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
2;0;ASH_COATED_OSMIUM;9963;13;9960;21;;;9979;13;9981;21;;;9971.0;0.0
2;0;INTARIAN_PEPPER_ROOT;13993;9;13989;25;;;14007;9;14011;25;;;14000.0;0.0
2;100;INTARIAN_PEPPER_ROOT;13993;8;13989;22;;;14008;8;14011;22;;;14000.5;-62.1015625
2;100;ASH_COATED_OSMIUM;9963;15;9960;26;;;9979;15;9981;26;;;9971.0;-67.40625
2;200;INTARIAN_PEPPER_ROOT;13993;9;13989;22;;;14008;9;14011;22;;;14000.5;-123.59375
2;200;ASH_COATED_OSMIUM;9962;15;9960;30;;;9978;15;9981;30;;;9970.0;-206.0
2;300;ASH_COATED_OSMIUM;9962;12;9960;27;;;9978;12;9980;27;;;9970.0;-336.8125
2;300;INTARIAN_PEPPER_ROOT;13993;8;13989;23;;;14008;8;14011;23;;;14000.5;-191.21875
2;400;ASH_COATED_OSMIUM;9972;8;9962;12;9960.0;25.0;9978;12;9981;25;;;9975.0;-418.5
2;400;INTARIAN_PEPPER_ROOT;13993;10;13989;15;;;14008;10;14011;15;;;14000.5;-249.375
2;500;ASH_COATED_OSMIUM;9962;11;9959;22;;;9978;11;9980;22;;;9970.0;-520.3125
2;500;INTARIAN_PEPPER_ROOT;13993;9;13990;19;;;14008;9;14011;19;;;14000.5;-321.0
2;600;INTARIAN_PEPPER_ROOT;13993;11;13990;23;;;14008;11;14012;23;;;14000.5;-383.25
2;600;ASH_COATED_OSMIUM;9962;13;9960;25;;;9978;13;9981;25;;;9970.0;-584.875
2;700;ASH_COATED_OSMIUM;9963;11;9960;23;;;9979;11;9981;23;;;9971.0;-580.8125
2;700;INTARIAN_PEPPER_ROOT;13993;9;13990;24;;;14008;9;14012;24;;;14000.5;-458.1875
2;800;ASH_COATED_OSMIUM;9963;12;9961;27;;;9979;12;9981;27;;;9971.0;-553.375
2;800;INTARIAN_PEPPER_ROOT;13993;8;13990;20;;;14008;8;14012;20;;;14000.5;-451.8125
2;900;INTARIAN_PEPPER_ROOT;13993;8;13990;25;;;14008;8;14012;25;;;14000.5;-445.375
2;900;ASH_COATED_OSMIUM;9963;12;9961;21;;;9979;12;9982;21;;;9971.0;-533.25
2;1000;INTARIAN_PEPPER_ROOT;13993;10;13990;21;;;14008;10;14012;21;;;14000.5;-439.0
2;1000;ASH_COATED_OSMIUM;9963;14;9961;28;;;9979;14;9982;28;;;9971.0;-539.875
2;1100;INTARIAN_PEPPER_ROOT;13994;11;13990;24;;;14009;11;14012;24;;;14001.5;-432.625
2;1100;ASH_COATED_OSMIUM;9962;13;9960;28;;;9978;13;9981;28;;;9970.0;-629.4375
2;1200;ASH_COATED_OSMIUM;9962;12;9959;28;;;9977;12;9980;28;;;9969.5;-672.25
2;1200;INTARIAN_PEPPER_ROOT;13994;9;13990;22;;;14009;9;14012;22;;;14001.5;-426.1875
2;1300;INTARIAN_PEPPER_ROOT;13994;12;13990;16;;;14009;12;14012;16;;;14001.5;-419.8125
2;1300;ASH_COATED_OSMIUM;9961;13;9959;23;;;9977;13;9980;23;;;9969.0;-701.5
2;1400;INTARIAN_PEPPER_ROOT;13994;10;13990;17;;;14009;10;14012;17;;;14001.5;-413.375
2;1400;ASH_COATED_OSMIUM;9961;10;9958;24;;;9977;10;9979;24;;;9969.0;-744.4375
2;1500;INTARIAN_PEPPER_ROOT;13994;11;13990;16;;;14009;11;14012;16;;;14001.5;-407.0
2;1500;ASH_COATED_OSMIUM;9961;12;9958;29;;;9966;4;9977;12;9979.0;29.0;9963.5;-739.4375
2;1600;ASH_COATED_OSMIUM;9961;14;9958;23;;;9977;14;9979;23;;;9969.0;-725.25
2;1600;INTARIAN_PEPPER_ROOT;13994;8;13991;23;;;14009;8;14013;23;;;14001.5;-400.625
2;1700;INTARIAN_PEPPER_ROOT;13994;9;13991;15;;;14009;9;14013;15;;;14001.5;-394.1875
2;1700;ASH_COATED_OSMIUM;9961;13;9958;24;;;9977;13;9979;24;;;9969.0;-725.25
2;1800;INTARIAN_PEPPER_ROOT;13994;9;13991;16;;;14009;9;14013;16;;;14001.5;-387.8125
2;1800;ASH_COATED_OSMIUM;9961;13;9959;28;;;9971;4;9977;13;9980.0;28.0;9966.0;-700.8125
2;1900;INTARIAN_PEPPER_ROOT;13994;10;13991;25;;;14009;10;14013;25;;;14001.5;-381.375
2;1900;ASH_COATED_OSMIUM;9962;15;9959;24;;;9978;15;9980;24;;;9970.0;-643.125
2;2000;INTARIAN_PEPPER_ROOT;13994;12;13991;22;;;14010;12;14013;22;;;14002.0;-375.0
2;2000;ASH_COATED_OSMIUM;9962;13;9959;22;;;9978;13;9980;22;;;9970.0;-640.875
2;2100;ASH_COATED_OSMIUM;9962;12;9959;25;;;9978;12;9980;25;;;9970.0;-640.4375
2;2100;INTARIAN_PEPPER_ROOT;13995;8;13991;15;;;14010;8;14013;15;;;14002.5;-368.625
2;2200;INTARIAN_PEPPER_ROOT;13995;12;13991;23;;;14010;12;14013;23;;;14002.5;-362.1875
2;2200;ASH_COATED_OSMIUM;9962;10;9959;29;;;9978;10;9980;29;;;9970.0;-664.0
2;2300;INTARIAN_PEPPER_ROOT;13995;9;13991;25;;;14010;9;14013;25;;;14002.5;-355.8125
2;2300;ASH_COATED_OSMIUM;9961;14;9959;20;;;9977;14;9980;20;;;9969.0;-705.375
2;2400;INTARIAN_PEPPER_ROOT;13995;8;13991;22;;;14010;8;14013;22;;;14002.5;-349.375
2;2400;ASH_COATED_OSMIUM;9961;10;9959;25;;;9977;10;9980;25;;;9969.0;-690.875
2;2500;ASH_COATED_OSMIUM;9961;14;9959;27;;;9977;14;9980;27;;;9969.0;-680.25
2;2500;INTARIAN_PEPPER_ROOT;13995;10;13991;15;;;14010;10;14014;15;;;14002.5;-343.0
2;2600;INTARIAN_PEPPER_ROOT;13995;8;13992;25;;;14010;8;14014;25;;;14002.5;-336.625
2;2600;ASH_COATED_OSMIUM;9961;13;9959;20;;;9977;13;9980;20;;;9969.0;-676.25
2;2700;INTARIAN_PEPPER_ROOT;13995;11;13992;19;;;13998;8;14010;11;14014.0;19.0;13996.5;-330.1875
2;2700;ASH_COATED_OSMIUM;9961;14;9959;29;;;9977;14;9979;29;;;9969.0;-710.8125
2;2800;INTARIAN_PEPPER_ROOT;13995;12;13992;25;;;14010;12;14014;25;;;14002.5;-285.4375
2;2800;ASH_COATED_OSMIUM;9961;11;9959;22;;;9977;11;9979;22;;;9969.0;-711.3125
2;2900;ASH_COATED_OSMIUM;9961;15;9959;21;;;9977;15;9980;21;;;9969.0;-684.5
2;2900;INTARIAN_PEPPER_ROOT;14007;8;13995;12;13992.0;25.0;14010;12;14014;25;;;14008.5;-278.1875
2;3000;INTARIAN_PEPPER_ROOT;13995;9;13992;21;;;14011;9;14014;21;;;14003.0;-239.0
2;3000;ASH_COATED_OSMIUM;9962;13;9959;27;;;9978;13;9980;27;;;9970.0;-668.625
2;3100;INTARIAN_PEPPER_ROOT;13996;11;13992;21;;;14011;11;14014;21;;;14003.5;-232.625
2;3100;ASH_COATED_OSMIUM;9962;10;9959;25;;;9978;10;9980;25;;;9970.0;-643.8125
2;3200;INTARIAN_PEPPER_ROOT;13996;9;13992;25;;;14011;9;14014;25;;;14003.5;-226.1875
2;3200;ASH_COATED_OSMIUM;9962;12;9959;28;;;9978;12;9980;28;;;9970.0;-659.5
2;3300;ASH_COATED_OSMIUM;9962;12;9959;26;;;9978;12;9980;26;;;9970.0;-652.3125
2;3300;INTARIAN_PEPPER_ROOT;13996;10;13992;17;;;14011;10;14014;17;;;14003.5;-219.8125
2;3400;INTARIAN_PEPPER_ROOT;13996;12;13992;24;;;14011;12;14014;24;;;14003.5;-213.375
2;3400;ASH_COATED_OSMIUM;9961;11;9959;25;;;9977;11;9980;25;;;9969.0;-679.375
2;3500;INTARIAN_PEPPER_ROOT;13996;11;13992;25;;;14011;11;14015;25;;;14003.5;-207.0
2;3500;ASH_COATED_OSMIUM;9962;10;9959;21;;;9978;10;9980;21;;;9970.0;-645.375
2;3600;ASH_COATED_OSMIUM;9962;10;9959;30;;;9978;10;9980;30;;;9970.0;-640.875
